Date,Number of Trips 1-3 (Sum),Number of Trips 3-5 (Sum),Number of Trips 5-10 (Sum),Number of Trips 10-25 (Sum),Number of Trips 25-50 (Sum),Number of Trips 50-100 (Sum)
Jan-19,"26,834,466,455","12,952,315,594","15,950,096,166","15,199,029,960","5,076,183,145","1,676,952,407"
Feb-19,"24,347,566,662","11,870,026,967","14,719,257,863","14,093,668,108","4,715,357,077","1,572,076,828"
Mar-19,"30,942,105,172","14,991,418,422","18,737,410,376","18,267,432,391","5,967,630,335","1,902,728,755"
Apr-19,"33,425,468,112","16,067,286,787","20,196,735,426","20,041,766,804","6,405,800,428","1,924,130,243"
May-19,"34,318,175,900","16,488,446,849","20,778,297,665","20,303,221,871","6,116,174,341","1,740,648,434"
Jun-19,"33,144,615,919","15,826,367,634","20,107,819,242","19,982,403,330","6,120,145,714","1,736,008,631"
Jul-19,"34,073,651,703","16,608,557,358","21,445,182,698","21,400,512,787","6,470,530,864","1,780,450,737"
Aug-19,"34,682,611,907","17,029,842,787","21,904,879,064","21,703,307,957","6,504,577,940","1,776,071,341"
Sep-19,"33,672,680,754","16,612,759,623","21,312,780,831","21,186,318,598","6,308,923,522","1,690,127,364"
Oct-19,"31,071,467,186","15,748,293,509","20,445,722,197","20,789,971,887","6,074,019,393","1,522,017,494"
Nov-19,"28,334,410,351","14,395,285,626","18,791,598,160","19,279,300,454","5,690,106,002","1,477,440,539"
Dec-19,"28,968,641,652","15,038,591,846","19,634,293,875","20,085,274,236","5,929,457,350","1,554,529,071"
Jan-20,"27,689,367,712","13,480,518,760","16,724,074,514","16,069,933,527","5,269,329,583","1,651,780,349"
Feb-20,"26,007,228,864","12,810,046,338","15,924,205,821","15,233,179,540","5,100,930,900","1,737,396,262"
Mar-20,"24,857,541,535","11,746,893,256","14,526,283,495","14,078,508,944","4,824,958,353","1,748,594,321"
Apr-20,"20,982,977,213","9,583,674,598","11,626,388,433","11,070,948,550","3,669,636,390","1,245,141,789"
May-20,"24,461,560,792","11,606,606,575","14,184,874,604","13,540,150,217","4,571,208,532","1,629,321,843"
Jun-20,"22,671,253,217","10,898,185,154","13,558,901,170","13,202,851,291","4,630,115,429","1,745,496,993"
Jul-20,"20,807,635,851","10,239,560,584","12,976,621,116","12,859,061,646","4,619,804,539","1,816,183,459"
Aug-20,"21,051,541,075","10,419,161,814","13,261,067,996","13,309,000,479","4,856,102,257","1,918,735,567"
Sep-20,"20,951,060,359","10,269,023,767","13,096,005,542","13,219,216,491","4,800,160,504","1,822,368,719"
Oct-20,"21,314,021,202","10,498,495,337","13,345,466,667","13,336,836,737","4,946,974,248","1,983,008,976"
Nov-20,"22,253,732,526","10,616,468,143","13,004,322,966","12,546,441,391","4,545,243,076","1,863,185,656"
Dec-20,"21,669,354,190","10,547,781,014","13,159,712,424","13,060,505,417","4,810,858,996","2,029,866,503"
Jan-21,"22,658,132,944","11,370,698,350","14,177,729,076","13,349,764,977","4,295,396,592","1,472,786,316"
Feb-21,"22,835,193,783","11,610,572,951","14,668,380,848","13,932,861,795","4,405,884,928","1,457,490,541"
Mar-21,"28,082,956,933","14,338,329,672","18,118,048,207","17,028,089,749","5,448,708,653","1,855,923,086"
Apr-21,"28,287,090,654","14,450,137,094","18,327,732,479","17,149,295,086","5,417,431,365","1,842,820,999"
May-21,"27,739,714,292","14,139,961,656","17,924,642,640","16,679,963,394","5,281,553,500","1,829,202,041"
Jun-21,"26,724,972,550","13,653,096,858","17,389,729,246","16,302,742,266","5,185,468,900","1,776,516,367"
Jul-21,"28,345,427,641","14,106,713,940","17,948,727,187","17,001,263,978","5,485,669,287","1,940,089,847"
Aug-21,"27,856,209,346","13,677,688,942","17,339,036,896","16,396,320,270","5,260,710,120","1,837,369,789"
Sep-21,"26,669,734,544","13,083,739,226","16,582,977,160","15,674,615,291","5,037,764,054","1,762,263,788"
Oct-21,"29,147,291,276","13,812,428,380","17,360,972,034","16,393,067,029","5,288,788,091","1,877,197,929"
Nov-21,"29,607,860,912","13,828,866,237","17,183,410,804","16,266,719,914","5,223,434,323","1,825,412,886"
Dec-21,"29,812,872,034","14,379,822,178","18,501,066,696","16,666,842,629","5,286,701,582","1,849,523,696"
Jan-22,"28,857,702,645","13,994,456,495","17,867,344,575","16,205,272,357","5,111,444,919","1,775,024,527"
Feb-22,"4,579,345,103","2,262,525,734","2,886,705,569","2,671,322,022","838,608,487","287,677,130"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
